,Date,Open,High,Low,Close,Volume
0,24-Nov-17,175.1,175.5,174.65,174.97,14026673
1,22-Nov-17,173.36,175.0,173.05,174.96,25588925
2,21-Nov-17,170.78,173.7,170.78,173.14,25131295
3,20-Nov-17,170.29,170.56,169.56,169.98,16262447
4,17-Nov-17,171.04,171.39,169.64,170.15,21899544
5,16-Nov-17,171.18,171.87,170.3,171.1,23637484
6,15-Nov-17,169.97,170.32,168.38,169.08,29158070
7,14-Nov-17,173.04,173.48,171.18,171.34,24782487
8,13-Nov-17,173.5,174.5,173.4,173.97,16982080
9,10-Nov-17,175.11,175.38,174.27,174.67,25145500
10,9-Nov-17,175.11,176.1,173.14,175.88,29482596
11,8-Nov-17,174.66,176.24,174.33,176.24,24409527
12,7-Nov-17,173.91,175.25,173.6,174.81,24361485
13,6-Nov-17,172.36,174.99,171.72,174.25,35026306
14,3-Nov-17,174.0,174.26,171.12,172.5,59398631
15,2-Nov-17,166.6,168.5,165.28,168.11,41393373
16,1-Nov-17,169.87,169.94,165.61,166.89,33637762
17,31-Oct-17,167.9,169.65,166.94,169.04,36046828
18,30-Oct-17,163.89,168.07,163.72,166.72,44700772
19,27-Oct-17,159.29,163.6,158.7,163.05,44454160
20,26-Oct-17,157.23,157.83,156.78,157.41,17000469
21,25-Oct-17,156.91,157.55,155.27,156.41,21207098
22,24-Oct-17,156.29,157.42,156.2,157.1,17757230
23,23-Oct-17,156.89,157.69,155.5,156.17,21984327
24,20-Oct-17,156.61,157.75,155.96,156.25,23974146
25,19-Oct-17,156.75,157.08,155.02,155.98,42584166
26,18-Oct-17,160.42,160.71,159.6,159.76,16374164
27,17-Oct-17,159.78,160.87,159.23,160.47,18997275
28,16-Oct-17,157.9,160.0,157.65,159.88,24121452
29,13-Oct-17,156.73,157.28,156.41,156.99,16394188
30,12-Oct-17,156.35,157.37,155.73,156.0,16125054
31,11-Oct-17,155.97,156.98,155.75,156.55,16905640
32,10-Oct-17,156.06,158.0,155.1,155.9,15617014
33,9-Oct-17,155.81,156.73,155.48,155.84,16262923
34,6-Oct-17,154.97,155.49,154.56,155.3,17407558
35,5-Oct-17,154.18,155.44,154.05,155.39,21283769
36,4-Oct-17,153.63,153.86,152.46,153.48,20163750
37,3-Oct-17,154.01,155.09,153.91,154.48,16230293
38,2-Oct-17,154.26,154.45,152.72,153.81,18698842
39,29-Sep-17,153.21,154.13,152.0,154.12,26299810
40,28-Sep-17,153.89,154.28,152.7,153.28,22005455
41,27-Sep-17,153.8,154.72,153.54,154.23,25182779
42,26-Sep-17,151.78,153.92,151.69,153.14,36660045
43,25-Sep-17,149.99,151.83,149.16,150.55,44387336
44,22-Sep-17,151.54,152.27,150.56,151.89,46645443
45,21-Sep-17,155.8,155.8,152.75,153.39,37511661
46,20-Sep-17,157.9,158.26,153.83,156.07,52951364
47,19-Sep-17,159.51,159.77,158.44,158.73,20810632
48,18-Sep-17,160.11,160.5,158.0,158.67,28269435
49,15-Sep-17,158.47,160.97,158.0,159.88,49114602
50,14-Sep-17,158.99,159.4,158.09,158.28,23760749
51,13-Sep-17,159.87,159.96,157.91,159.65,44907361
52,12-Sep-17,162.61,163.96,158.77,160.86,71714046
53,11-Sep-17,160.5,162.05,159.89,161.5,31580798
54,8-Sep-17,160.86,161.15,158.53,158.63,28611535
55,7-Sep-17,162.09,162.24,160.36,161.26,21928502
56,6-Sep-17,162.71,162.99,160.52,161.91,21651726
57,5-Sep-17,163.75,164.25,160.56,162.08,29536314
58,1-Sep-17,164.8,164.94,163.63,164.05,16591051
59,31-Aug-17,163.64,164.52,163.48,164.0,26785096
