,Date,Open,High,Low,Close,Volume
0,31-Oct-17,1015.22,1024.0,1010.42,1016.64,1331391
1,30-Oct-17,1014.0,1024.97,1007.5,1017.11,2085062
2,27-Oct-17,1009.19,1048.39,1008.2,1019.27,5167689
3,26-Oct-17,980.0,987.6,972.2,972.56,2042149
4,25-Oct-17,968.37,976.09,960.52,973.33,1211262
5,24-Oct-17,970.0,972.23,961.0,970.54,1212153
6,23-Oct-17,989.52,989.52,966.12,968.45,1478448
7,20-Oct-17,989.44,991.0,984.58,988.2,1183186
8,19-Oct-17,986.0,988.88,978.39,984.45,1313575
9,18-Oct-17,991.77,996.72,986.97,992.81,1057581
10,17-Oct-17,990.29,996.44,988.59,992.18,1290186
11,16-Oct-17,992.1,993.91,984.0,992.0,910543
12,13-Oct-17,992.0,997.21,989.0,989.68,1169777
13,12-Oct-17,987.45,994.12,985.0,987.83,1262793
14,11-Oct-17,973.72,990.71,972.25,989.25,1693274
15,10-Oct-17,980.0,981.57,966.08,972.6,968362
16,9-Oct-17,980.0,985.42,976.11,977.0,891355
17,6-Oct-17,966.7,979.46,963.36,978.89,1173882
18,5-Oct-17,955.49,970.91,955.18,969.96,1213816
19,4-Oct-17,957.0,960.39,950.69,951.68,952391
20,3-Oct-17,954.0,958.0,949.14,957.79,888346
21,2-Oct-17,959.98,962.54,947.84,953.27,1283444
22,29-Sep-17,952.0,959.79,951.51,959.11,1580994
23,28-Sep-17,941.36,950.69,940.55,949.5,1020312
24,27-Sep-17,927.74,949.9,927.74,944.49,2212600
25,26-Sep-17,923.72,930.82,921.14,924.86,1666861
26,25-Sep-17,925.45,926.4,909.7,920.97,1856822
27,22-Sep-17,927.75,934.73,926.48,928.53,1052704
28,21-Sep-17,933.0,936.53,923.83,932.45,1290607
29,20-Sep-17,922.98,933.88,922.0,931.58,1669763
30,19-Sep-17,917.42,922.42,912.55,921.81,936654
31,18-Sep-17,920.01,922.08,910.6,915.0,1306922
32,15-Sep-17,924.66,926.49,916.36,920.29,2505430
33,14-Sep-17,931.25,932.77,924.0,925.11,1397644
34,13-Sep-17,930.66,937.25,929.86,935.09,1102631
35,12-Sep-17,932.59,933.48,923.86,932.07,1134397
36,11-Sep-17,934.25,938.38,926.92,929.08,1266991
37,8-Sep-17,936.49,936.99,924.88,926.5,1011538
38,7-Sep-17,931.73,936.41,923.62,935.95,1212743
39,6-Sep-17,930.15,930.92,919.27,927.81,1527650
40,5-Sep-17,933.08,937.0,921.96,928.45,1348292
41,1-Sep-17,941.13,942.48,935.15,937.34,947374
42,31-Aug-17,931.76,941.98,931.76,939.33,1582579
43,30-Aug-17,920.05,930.82,919.65,929.57,1301225
44,29-Aug-17,905.1,923.33,905.0,921.29,1185564
45,28-Aug-17,916.0,919.24,911.87,913.81,1086484
46,25-Aug-17,923.49,925.56,915.5,915.89,1053376
47,24-Aug-17,928.66,930.84,915.5,921.28,1270306
48,23-Aug-17,921.93,929.93,919.36,927.0,1090248
49,22-Aug-17,912.72,925.86,911.48,924.69,1166737
50,21-Aug-17,910.0,913.0,903.4,906.66,943441
51,18-Aug-17,910.31,915.28,907.15,910.67,1342689
52,17-Aug-17,925.78,926.86,910.98,910.98,1277238
53,16-Aug-17,925.29,932.7,923.44,926.96,1006711
54,15-Aug-17,924.23,926.55,919.82,922.22,883369
55,14-Aug-17,922.53,924.67,918.19,922.67,1064530
56,11-Aug-17,907.97,917.78,905.58,914.39,1206782
57,10-Aug-17,917.55,919.26,906.13,907.24,1823967
58,9-Aug-17,920.61,925.98,917.25,922.9,1192081
59,8-Aug-17,927.09,935.81,925.61,926.79,1061579
60,7-Aug-17,929.06,931.7,926.5,929.36,1032239
61,4-Aug-17,926.75,930.31,923.03,927.96,1082267
62,3-Aug-17,930.34,932.24,922.24,923.65,1202512
63,2-Aug-17,928.61,932.6,916.68,930.39,1824448
64,1-Aug-17,932.38,937.45,929.26,930.83,1277734
65,31-Jul-17,941.89,943.59,926.04,930.5,1970095
66,28-Jul-17,929.4,943.83,927.5,941.53,1846351
67,27-Jul-17,951.78,951.78,920.0,934.09,3212996
68,26-Jul-17,954.68,955.0,942.28,947.8,2088256
69,25-Jul-17,953.81,959.7,945.4,950.7,4660979
70,24-Jul-17,972.22,986.2,970.77,980.34,3248347
71,21-Jul-17,962.25,973.23,960.15,972.92,1711000
72,20-Jul-17,975.0,975.9,961.51,968.15,1624463
73,19-Jul-17,967.84,973.04,964.03,970.89,1224540
74,18-Jul-17,953.0,968.04,950.6,965.4,1153964
75,17-Jul-17,957.0,960.74,949.24,953.42,1165537
76,14-Jul-17,952.0,956.91,948.0,955.99,1053774
77,13-Jul-17,946.29,954.45,943.01,947.16,1294687
78,12-Jul-17,938.68,946.3,934.47,943.83,1532144
79,11-Jul-17,929.54,931.43,922.0,930.09,1113235
80,10-Jul-17,921.77,930.38,919.59,928.8,1192825
81,7-Jul-17,908.85,921.54,908.85,918.59,1637785
82,6-Jul-17,904.12,914.94,899.7,906.69,1424503
83,5-Jul-17,901.76,914.51,898.5,911.71,1813884
84,3-Jul-17,912.18,913.94,894.79,898.7,1710373
85,30-Jun-17,926.05,926.05,908.31,908.73,2090226
86,29-Jun-17,929.92,931.26,910.62,917.79,3299176
87,28-Jun-17,929.0,942.75,916.0,940.49,2721406
88,27-Jun-17,942.46,948.29,926.85,927.33,2579930
89,26-Jun-17,969.9,973.31,950.79,952.27,1598355
90,23-Jun-17,956.83,966.0,954.2,965.59,1527856
91,22-Jun-17,958.7,960.72,954.55,957.09,941958
92,21-Jun-17,953.64,960.1,950.76,959.45,1202233
93,20-Jun-17,957.52,961.62,950.01,950.63,1125990
94,19-Jun-17,949.96,959.99,949.05,957.37,1533336
95,16-Jun-17,940.0,942.04,931.6,939.78,3094711
96,15-Jun-17,933.97,943.34,924.44,942.31,2133050
